stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.stopped,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,X,space,,,,,,,0,27,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.54461699999956,86.54461699999956,86.8444209579975,space,1,0.2617283330037026,87.54505400000198,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,28,28,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.54505400000198,87.54505400000198,87.844632291999,space,1,0.256054124009097,88.54484562500147,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,E,none,,,,,,,0,29,29,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.54484562500147,88.54484562500147,88.84432874999766,space,0,0.2532254580000881,89.54459195800155,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,30,30,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.54459195800155,89.54459195800155,89.84472833299515,space,1,0.27609733300778316,90.54474599999958,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,V,none,,,,,,,0,31,31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.54474599999958,90.54474599999958,90.84441587499896,None,1,,91.54525333299534,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,32,32,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.54525333299534,91.54525333299534,91.84523337499559,space,1,0.3717389580051531,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,33,33,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5449327919996,92.5449327919996,92.84495962499932,space,1,0.29837933300586883,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,34,34,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.54514349999954,93.54514349999954,93.84529195800133,space,1,0.27693158300826326,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,35,35,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.54476074999548,94.54476074999548,94.8451028749987,space,1,0.2989314580045175,95.54474491699511,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,36,36,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.54474491699511,95.54474491699511,95.84458512499987,space,1,0.35202516600111267,96.54497750000155,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
