stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,text_Feedback_Prac1.stopped,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.stopped,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,X,space,,,,,,,0,33,33,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.12379979202524,140.12379979202524,140.42338950000703,space,1,0.40621904097497463,141.12341954209842,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,34,34,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.12341954209842,141.12341954209842,141.42329020798206,space,1,0.4332788740284741,142.12328408309259,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,V,none,,,,,,,0,35,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.12328408309259,142.12328408309259,142.42347316700034,None,1,,143.1227360421326,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,36,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.1227360421326,143.1227360421326,143.42351824999787,space,1,0.37334950012154877,144.12323141703382,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,37,37,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.12323141703382,144.12323141703382,144.42349837510847,space,1,0.3745933740865439,145.12298462493345,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,N,none,,,,,,,0,38,38,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.12298462493345,145.12298462493345,145.4233255421277,None,1,,146.12345508299768,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,39,39,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.12345508299768,146.12345508299768,146.42358050006442,space,1,0.4676278750412166,147.1230836249888,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,40,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.1230836249888,147.1230836249888,147.42279337509535,space,1,0.4715388750191778,148.12354475003667,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,41,41,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.12354475003667,148.12354475003667,148.42354920809157,space,1,0.4507879999000579,149.12317637493834,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,E,none,,,,,,,0,42,42,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.12317637493834,149.12317637493834,149.4231147079263,None,1,,150.12382508302107,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,43,43,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.12382508302107,150.12382508302107,150.42363041709177,space,1,0.28064033295959234,151.12306866701692,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,F,none,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.12306866701692,151.12306866701692,151.42360129207373,None,1,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,45,45,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.12393983313814,152.12393983313814,152.4236769999843,space,1,0.30120116705074906,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,46,46,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.12344454205595,153.12344454205595,153.42322970810346,space,1,0.38966570794582367,154.1240741671063,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,47,47,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.1240741671063,154.1240741671063,154.42327554197982,space,1,0.39003045787103474,155.12363566691056,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,48,48,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.12363566691056,155.12363566691056,155.42357687512413,space,1,0.32076904200948775,156.12334787496366,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,49,49,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.12334787496366,156.12334787496366,156.4232477080077,space,1,0.3407424578908831,157.12356304191053,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.12356304191053,157.60688608302735,space,9.471324498998001,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
